Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/pages/admin/AdminCMSTeam.tsx,16,useMutation,users.deleteUser,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSTeam.tsx,17,useMutation,users.togglePublicStatus,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCMSTestimonials.tsx,14,useQuery,cms.listTestimonials,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTestimonials.tsx,15,useMutation,cms.createTestimonial,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTestimonials.tsx,16,useMutation,cms.updateTestimonial,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCMSTestimonials.tsx,17,useMutation,cms.deleteTestimonial,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminConflictChecker.tsx,39,useQuery,clients.listClients,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminConflictChecker.tsx,40,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminConflictChecker.tsx,42,useMutation,conflictChecks.logSearch,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminConflictChecker.tsx,43,useMutation,conflictChecks.updateStatus,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminConflictChecker.tsx,44,useQuery,conflictChecks.listRecentChecks,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminCRMPage.tsx,39,useQuery,leads.listLeads,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCRMPage.tsx,40,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCRMPage.tsx,41,useMutation,leads.updateLead,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCRMPage.tsx,42,useMutation,leads.convertToClient,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminCRMPage.tsx,43,useMutation,leads.generateIntakeLink,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminDashboard.tsx,9,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDashboard.tsx,10,useQuery,clients.listClients,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDashboard.tsx,11,useQuery,users.listUsers,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDashboard.tsx,12,useQuery,invoices.listInvoices,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDashboard.tsx,13,useQuery,timeEntries.listTimeEntries,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDocumentGenerator.tsx,16,useQuery,templates.listTemplates,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminDocumentGenerator.tsx,17,useQuery,documents.listDocuments,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDocumentGenerator.tsx,18,useQuery,clients.listClients,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminDocumentGenerator.tsx,19,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
