Table,Index,Unique,Columns/expression,Documented query pattern,Migration
document_templates,document_templates_firm_type_idx,no,"firm_id,type",Firm-scoped document_templates lookup by document,drizzle/0000_initial_mysql_schema.sql
document_templates,document_templates_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_templates business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_upload_intents,document_upload_intents_creator_idx,no,"firm_id,created_by",Firm-scoped document_upload_intents lookup by document,drizzle/0000_initial_mysql_schema.sql
document_upload_intents,document_upload_intents_firm_id_id_unique,yes,"firm_id, id",Enforce document_upload_intents business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_upload_intents,document_upload_intents_firm_status_expiry_idx,no,"firm_id,status,expires_at",Firm-scoped document_upload_intents status queue or filter,drizzle/0000_initial_mysql_schema.sql
document_upload_intents,document_upload_intents_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_upload_intents,document_upload_intents_quarantine_key_unique,yes,quarantine_key,Enforce document_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_upload_rate_limits,document_upload_rate_limits_firm_id_id_unique,yes,"firm_id, id",Enforce document_upload_rate_limits business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
document_upload_rate_limits,document_upload_rate_limits_legacy_convex_id_unique,yes,legacy_convex_id,Enforce document_upload_rate_limits business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
document_upload_rate_limits,document_upload_rate_limits_user_idx,no,"firm_id,user_id",Firm-scoped document_upload_rate_limits lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
document_upload_rate_limits,document_upload_rate_limits_window_unique,yes,"firm_id,user_id,window_started_at",Enforce document_upload_rate_limits business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_case_idx,no,"firm_id,case_id",Firm-scoped documents lookup by case,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_deleted_idx,no,"firm_id,deleted_at",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_id_id_unique,yes,"firm_id, id",Enforce documents business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
documents,documents_firm_number_unique,yes,"firm_id,document_number",Enforce documents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_parent_idx,no,"firm_id,parent_document_id",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_signature_idx,no,"firm_id,intended_signer_user_id,signature_status",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_storage_unique,yes,"firm_id,storage_id",Enforce documents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_template_idx,no,"firm_id,is_template",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_type_idx,no,"firm_id,type",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_firm_uploader_idx,no,"firm_id,uploaded_by",Firm-scoped documents lookup by document,drizzle/0000_initial_mysql_schema.sql
documents,documents_legacy_convex_id_unique,yes,legacy_convex_id,Enforce documents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
documents,documents_parent_version_unique,yes,"firm_id,parent_document_id,version",Enforce documents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
documents,documents_search_fulltext_idx,no,"title, description, searchable_text",Full-text document discovery by title description and extracted text,drizzle/0001_mysql_integrity.sql
durable_job_attempts,durable_job_attempts_firm_id_id_unique,yes,"firm_id, id",Enforce durable_job_attempts business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
durable_job_attempts,durable_job_attempts_job_idx,no,"firm_id,job_id,started_at",Documented operational lookup for durable_job_attempts,drizzle/0000_initial_mysql_schema.sql
durable_job_attempts,durable_job_attempts_legacy_convex_id_unique,yes,legacy_convex_id,Enforce durable_job_attempts business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_job_attempts,durable_job_attempts_number_unique,yes,"firm_id,job_id,attempt_number",Enforce durable_job_attempts business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_job_effects,durable_job_effects_firm_id_id_unique,yes,"firm_id, id",Enforce durable_job_effects business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
durable_job_effects,durable_job_effects_key_unique,yes,"firm_id,job_id,effect_key",Enforce durable_job_effects business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_job_effects,durable_job_effects_legacy_convex_id_unique,yes,legacy_convex_id,Enforce durable_job_effects business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_jobs,durable_jobs_claim_idx,no,"status,available_at,priority,created_at",Documented operational lookup for durable_jobs,drizzle/0000_initial_mysql_schema.sql
durable_jobs,durable_jobs_firm_id_id_unique,yes,"firm_id, id",Enforce durable_jobs business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
durable_jobs,durable_jobs_firm_status_idx,no,"firm_id,status,created_at",Firm-scoped durable_jobs status queue or filter,drizzle/0000_initial_mysql_schema.sql
durable_jobs,durable_jobs_idempotency_unique,yes,"firm_id,type,idempotency_key",Enforce durable_jobs business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_jobs,durable_jobs_legacy_convex_id_unique,yes,legacy_convex_id,Enforce durable_jobs business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_schedules,durable_schedules_due_idx,no,"is_active,next_run_at",Firm-scoped durable_schedules chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
durable_schedules,durable_schedules_firm_id_id_unique,yes,"firm_id, id",Enforce durable_schedules business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
durable_schedules,durable_schedules_firm_name_unique,yes,"firm_id,name",Enforce durable_schedules business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
durable_schedules,durable_schedules_legacy_convex_id_unique,yes,legacy_convex_id,Enforce durable_schedules business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
firm_settings,firm_settings_firm_id_id_unique,yes,"firm_id, id",Enforce firm_settings business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
firm_settings,firm_settings_firm_key_unique,yes,"firm_id,key",Enforce firm_settings business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
firm_settings,firm_settings_legacy_convex_id_unique,yes,legacy_convex_id,Enforce firm_settings business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
firms,firms_legacy_convex_id_unique,yes,legacy_convex_id,Enforce firms business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
firms,firms_slug_unique,yes,slug,Enforce firms business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
hearings,hearings_firm_case_idx,no,"firm_id,case_id",Firm-scoped hearings lookup by case,drizzle/0000_initial_mysql_schema.sql
hearings,hearings_firm_date_idx,no,"firm_id,date_gregorian",Firm-scoped hearings chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
hearings,hearings_firm_id_id_unique,yes,"firm_id, id",Enforce hearings business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
hearings,hearings_legacy_convex_id_unique,yes,legacy_convex_id,Enforce hearings business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
job_applications,job_applications_firm_id_id_unique,yes,"firm_id, id",Enforce job_applications business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
job_applications,job_applications_firm_job_idx,no,"firm_id,job_id",Documented operational lookup for job_applications,drizzle/0000_initial_mysql_schema.sql
job_applications,job_applications_firm_status_idx,no,"firm_id,status",Firm-scoped job_applications status queue or filter,drizzle/0000_initial_mysql_schema.sql
job_applications,job_applications_legacy_convex_id_unique,yes,legacy_convex_id,Enforce job_applications business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
leads,leads_firm_assigned_idx,no,"firm_id,assigned_to",Documented operational lookup for leads,drizzle/0000_initial_mysql_schema.sql
leads,leads_firm_id_id_unique,yes,"firm_id, id",Enforce leads business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
leads,leads_firm_status_idx,no,"firm_id,status",Firm-scoped leads status queue or filter,drizzle/0000_initial_mysql_schema.sql
leads,leads_intake_token_unique,yes,intake_token,Enforce leads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
leads,leads_legacy_convex_id_unique,yes,legacy_convex_id,Enforce leads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
leave_balances,leave_balances_firm_id_id_unique,yes,"firm_id, id",Enforce leave_balances business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
leave_balances,leave_balances_firm_user_type_year_unique,yes,"firm_id,user_id,type,year",Enforce leave_balances business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
leave_balances,leave_balances_firm_user_year_idx,no,"firm_id,user_id,year",Firm-scoped leave_balances lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
leave_balances,leave_balances_legacy_convex_id_unique,yes,legacy_convex_id,Enforce leave_balances business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
leave_requests,leave_requests_firm_id_id_unique,yes,"firm_id, id",Enforce leave_requests business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
leave_requests,leave_requests_firm_status_idx,no,"firm_id,status",Firm-scoped leave_requests status queue or filter,drizzle/0000_initial_mysql_schema.sql
leave_requests,leave_requests_firm_user_idx,no,"firm_id,user_id",Firm-scoped leave_requests lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
leave_requests,leave_requests_legacy_convex_id_unique,yes,legacy_convex_id,Enforce leave_requests business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
legal_pages,legal_pages_firm_id_id_unique,yes,"firm_id, id",Enforce legal_pages business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
legal_pages,legal_pages_firm_slug_unique,yes,"firm_id,slug",Enforce legal_pages business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
legal_pages,legal_pages_legacy_convex_id_unique,yes,legacy_convex_id,Enforce legal_pages business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
message_attachments,message_attachments_firm_id_id_unique,yes,"firm_id, id",Enforce message_attachments business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
message_attachments,message_attachments_legacy_convex_id_unique,yes,legacy_convex_id,Enforce message_attachments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
message_attachments,message_attachments_position_unique,yes,"firm_id,message_id,position",Enforce message_attachments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
message_reads,message_reads_firm_id_id_unique,yes,"firm_id, id",Enforce message_reads business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
message_reads,message_reads_legacy_convex_id_unique,yes,legacy_convex_id,Enforce message_reads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
message_reads,message_reads_unique,yes,"firm_id,message_id,user_id",Enforce message_reads business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
message_reads,message_reads_user_idx,no,"firm_id,user_id",Firm-scoped message_reads lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
messages,messages_firm_case_created_idx,no,"firm_id,case_id,created_at",Firm-scoped messages lookup by case,drizzle/0000_initial_mysql_schema.sql
messages,messages_firm_id_id_unique,yes,"firm_id, id",Enforce messages business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
messages,messages_firm_sender_idx,no,"firm_id,sender_id",Documented operational lookup for messages,drizzle/0000_initial_mysql_schema.sql
